['i didnt feel humiliated', 'i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake', 'im grabbing a minute to post i feel greedy wrong', 'i am ever feeling nostalgic about the fireplace i will know that it is still on the property', 'i am feeling grouchy', 'ive been feeling a little burdened lately wasnt sure why that was', 'ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny', 'i feel as confused about life as a teenager or as jaded as a year old man', 'i have been with petronas for years i feel that petronas has performed well and made a huge profit', 'i feel romantic too']

['neutral', 'hopeful', 'guilty', 'nostalgic', 'irritated', 'burdened', 'amused', 'uncertain', 'satisfied', 'romantic']





['i feel like i have to make the suffering i m seeing mean something', 'i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter', 'i think it s the easiest time of year to feel dissatisfied', 'i feel low energy i m just thirsty', 'i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious', 'i do not feel reassured anxiety is on each side', 'i didnt really feel that embarrassed', 'i feel pretty pathetic most of the time', 'i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties', 'i now feel compromised and skeptical of the value of every unit of work i put in']

['determined', 'spiritual', 'dissatisfied', 'tired', 'doubtful', 'anxious', 'unembarrassed', 'worthless', 'nostalgic', 'skeptical']






['i feel irritated and rejected without anyone doing anything or saying anything', 'i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for', 'i have the feeling she was amused and delighted', 'i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me', 'i already feel like i fucked up though because i dont usually eat at all in the morning', 'i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed', 'i feel so inhibited in someone elses kitchen like im painting on someone elses picture', 'i become overwhelmed and feel defeated', 'i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp', 'i feel more superior dead chicken or grieving child']



['irritated', 'overwhelmed', 'amused', 'grateful', 'anxious', 'resentful', 'inhibited', 'defeated', 'disgusted', 'uncertain']




['i get giddy over feeling elegant in a perfectly fitted pencil skirt', 'i remember feeling acutely distressed for a few days', 'i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies', 'i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day', 'i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently', 'i am not sure what would make me feel content if anything', 'i have been feeling the need to be creative', 'i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them', 'i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed', 'i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words']

['excited', 'distressed', 'impressed', 'frustrated', 'uncertain', 'unsure', 'creative', 'supportive', 'guilty', 'vulnerable']




['i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired', 'i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book', 'ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect', 'i feel very strongly passionate about when some jerk off decides to poke and make fun of us', 'i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way', 'i was feeling listless from the need of new things something different', 'i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special', 'i can t let go of that sad feeling that i want to be accepted here in this first home of mine', 'on a boat trip to denmark', 'i stopped feeling cold and began feeling hot']


['hopeful', 'festive', 'confident', 'angry', 'anxious', 'restless', 'enthusiastic', 'sad', 'nostalgic', 'physically uncomfortable']










['i need to feel the dough to make sure its just perfect', 'i found myself feeling a little discouraged that morning', 'i feel selfish and spoiled', 'i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended', 'i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u', 'i feel you know basically like a fake in the realm of science fiction', 'i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave', 'i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations', 'i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off', 'i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal']


['neutral', 'discouraged', 'selfish', 'uncertain', 'vulgar', 'fake', 'angry', 'surprised', 'vulgar', 'loving']








['i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff', 'i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level', 'i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants', 'i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations', 'i am now nearly finished the week detox and i feel amazing', 'i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own', 'i know the pain parents feel when an enraged child becomes violent', 'i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming', 'i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith', 'i was feeling brave when i bought it and clearly when i was doing my makeup']


['confused', 'hopeful', 'pressured', 'distressed', 'content', 'guilty', 'empathetic', 'anxious', 'doubtful', 'confident']












['i am feeling miserable but c i am also the proudest mum on earth', 'i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic', 'i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals', 'i can feel my ovaries aching talking to me as i like to put it', 'i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff', 'im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well', 'i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs', 'i think feelings are one of nay the most important things we have', 'i feel completely honored to be an influence to this young talented fully alive beautiful girl woman', 'i feel angered and firey']

['miserable', 'embarrassed', 'reassured', 'aching', 'unmotivated', 'frustrated', 'accomplished', 'important', 'honored', 'angered']




['i feel like a miserable piece of garbage', 'i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything', 'i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner', 'i remember feeling so hellip furious with the shooter', 'i feel very happy and excited since i learned so many things', 'i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently', 'i only have a couple of things left to make and at the start of december i am done and feeling smug', 'i think about how u could make me feel and realize that everything will be ok', 'i feel so worthless during those times i was struggling finding work', 'i will be able to lay on my bed in the dark and not feel terrified at least for a while']

['depressed', 'anxious', 'surprised', 'angry', 'happy', 'secure', 'proud', 'hopeful', 'worthless', 'relieved']





['i was ready to meet mom in the airport and feel her ever supportive arms around me', 'im feeling bitter today my mood has been strange the entire day so i guess its that', 'when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours', 'i am letting go of the animosity that is towards anyone that i feel has wronged me', 'i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home', 'i feel like throwing away the shitty piece of shit paper', 'im starting to feel wryly amused at the banal comedy of errors my life is turning into', 'i find every body beautiful and only want people to feel vital in their bodies', 'i hear are owners who feel victimized by their associations the associations attorneys or the property manager', 'i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country']


['nostalgic', 'bitter', 'grief', 'forgiving', 'compassionate', 'disgusted', 'amused', 'appreciative', 'empathetic', 'excited']





['i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months', 'i alba i feel good and im fitting in', 'i feel excited about what im doing again i feel like i have a ton of catching up to do', 'i also know how good it feels to look back and see that i honored my word and that helps from the start', 'i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness', 'i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me', 'i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger', 'i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street', 'finding out that i am not ill not seriously', 'i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling']

['loving', 'good', 'excited', 'proud', 'motivated', 'calm', 'hopeful', 'festive', 'relieved', 'upset']







['i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face', 'i am feeling all useful', 'i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain', 'i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair', 'im not feeling homesick yet so im feeling alright about this', 'i dance i should feel pretty', 'i workout every morning before and feel fabulous for it', 'i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain', 'i was feeling fabulous until friday morning when i started to get these awful cramps at work', 'i feel honoured to have been able to call them friends to share their brotherhood']


['neutral', 'positive', 'empathy', 'negative', 'positive', 'positive', 'positive', 'love', 'negative', 'gratitude']



['i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town', 'i had stated to her the reason i feel so fearful is because i feel unsafe', 'i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch', 'i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet', 'i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved', 'i feel they are pretty safe on my blog img src http s', 'i feel pretty eager to get it done as i have a fun plan for quilting it', 'i am feeling horny so i ask her that lets go home', 'i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love', 'i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home']


['apprehensive', 'fearful', 'indifferent', 'awkward', 'lonely', 'safe', 'eager', 'horny', 'uncomfortable', 'alienated']












